id,question,gold_intent,gold_document,resolved_kb_doc,gold_chunk_id,expected_answer,must_include,must_not_include,difficulty,category,retrieval_success,generation_success
11,교환학생 준비 때문에 학점을 많이 채워야 하는데 최대학점 초과 신청 가능한가요?,예외적 학점 초과,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_3,사회봉사(1학점)나 진로탐색학기제(3학점) 등 특정 교과목을 신청하는 경우 규정된 최대 신청 학점을 초과하여 신청할 수 있습니다.,사회봉사 / 초과 신청,학점 이월,Hard,수강신청,O,O
12,수강신청은 했는데 LMS에 강의가 안 뜹니다.,LMS 수강 내역 연동,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_10,LMS(e-class)에 강의가 보이지 않는다면 수강신청 사이트의 '수강신청 내역'에서 본인이 정상적으로 신청했는지부터 확인해야 합니다.,수강신청 내역 / 점검,전자출결,Medium,수강신청,O,X
13,교수님이 출석하라고 했는데 수강신청 내역에는 없습니다.,비정상 수강 신청,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_4,"수강신청 내역에 없는 과목 수강은 공식적으로 인정되지 않으며, 이로 인한 성적 미취득 등 불이익은 학생 본인의 책임입니다.",인정 불가 / 불이익,공인결석,Medium,수강신청,O,X
14,졸업예정자인데 마지막 학기 수강신청 우선권이 있나요?,졸업예정자 우선권,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_2,"졸업예정자에게 별도의 수강신청 우선권은 없습니다. 학년별 신청일이 달라 1학년(2.9)→2학년(2.10)→3·4학년(2.11)→전 학년(2.12) 순으로 진행되며, 본인 학년의 지정일에 신청해야 합니다.",우선권 / 학년별,,Easy,수강신청,O,X
15,야간에 일해서 오전 수업을 못 듣는데 온라인 대체 과목이 있나요?,온라인 강의 수강,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_53,OCU(한국열린사이버대학교) 컨소시엄 과목은 모든 과정이 인터넷으로 진행되므로 온라인으로 대체 수강이 가능합니다.,OCU / 인터넷,오프라인,Easy,수강신청,O,X
16,전공선택인 줄 알았는데 전공필수라고 합니다. 지금 변경 가능한가요?,이수구분 정정,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_1,학생포털시스템의 [성적 > 이수구분 변경 신청] 메뉴를 통해 본인의 학번에 맞는 정확한 이수구분으로 정정 신청을 해야 합니다.,이수구분 / 변경 신청,수강철회,Medium,수강신청,O,X
17,수강철회 기간을 놓쳤는데 한 과목 취소할 수 없나요?,수강취소 불가 기간,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_2,수업일수 1/4선(2026년 3월 26일) 이후에는 어떠한 사유로도 수강 취소가 절대 불가능합니다.,1/4선 / 취소 불가,휴학 / 자퇴,Easy,수강신청,O,X
18,시간표가 너무 비어 있는데 다른 학과 수업으로 채워도 되나요?,자유선택 학점 이수,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_2,"네, 수강신청 시 '타과전공'으로 검색하여 신청하면 되며 취득한 학점은 자유선택 학점으로 인정됩니다.",타과전공 / 자유선택,복수전공,Easy,수강신청,O,X
19,계절학기로 대체 가능한 과목인지 알고 싶습니다.,계절학기 과목 확인,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_5,매 학기 말 홈페이지 학사공지에 게시되는 계절학기 운영 안내 및 개설 과목 목록을 통해 대체 가능 여부를 확인해야 합니다.,학사공지 / 개설 목록,정규학기,Easy,수강신청,O,X
20,군 전역 후 복학했는데 수강신청 방법이 기억나지 않습니다.,수강신청 절차 안내,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_2,"수강신청 사이트에서 장바구니 신청 후, 본 수강신청 기간에 [수강신청] 탭에서 원하는 과목을 직접 신청하면 됩니다.",장바구니 / 직접 신청,복학 신청,Easy,수강신청,O,X
21,출석도 다 하고 과제도 냈는데 F가 나왔습니다.,성적 이의신청,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_10,성적 확인 및 정정 기간(2026.6.15.~6.19.) 내에 담당 교수님께 직접 연락하여 성적 산출 근거에 대해 문의해야 합니다.,정정 기간 / 교수님,학사지원팀,Medium,성적,O,X
22,교수님이 성적 입력 실수하셨다고 하는데 어떻게 수정되나요?,성적 오입력 정정,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_1,교수님이 성적 확인 및 정정 기간 내에 시스템을 통해 직접 수정하실 수 있으므로 해당 기간 내에 조치를 받아야 합니다.,정정 기간 / 시스템 수정,성적 포기,Medium,성적,X,X
23,장학금 기준이 3.5인데 제 성적이 3.49입니다. 반올림되나요?,장학 성적 기준,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_28,"장학 및 석차 산정 시 원 성적(등급제 성적)을 기준으로 하며, 규정상 소수점 반올림에 대한 명시는 없습니다.",원 성적 / 등급제,P/NP,Hard,성적,X,X
24,성적 이의신청을 했는데 답변이 없습니다.,성적 정정 기간 엄수,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_1,"정정 기간 종료 후에는 수정이 절대 불가하므로, 기간 내에 반드시 교수님과 연락이 닿아야 하며 필요시 학부 사무실에 도움을 요청하십시오.",기간 종료 / 정정 불가,수강취소,Medium,성적,O,X
25,재수강했는데 낮은 성적이 그대로 보입니다.,재수강 성적 삭제 시점,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_29,이전 성적은 수업일수 3/4선(2026.5.19.)에 자동 취소됩니다. 이 시점 이후에도 보인다면 학사지원팀에 문의가 필요합니다.,3/4선 / 자동 취소,부분 포기,Medium,성적,O,X
26,계절학기 성적까지 포함하면 학사경고를 피할 수 있나요?,학사경고 산정 기준,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_28,"학사경고는 정규학기 평점 1.5 미만 시 발생하며, 계절학기 성적의 평점 포함 여부는 정규학기 성적과 별도로 관리될 수 있습니다.",정규학기 / 1.5 미만,P/NP,Hard,성적,O,X
27,평점 계산이 제가 계산한 것과 다릅니다.,P/NP 성적 제외,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_10,성적평가 선택제(P/NP)를 적용받은 과목은 성적증명서상 평점평균(GPA) 계산에서 제외되기 때문에 차이가 발생할 수 있습니다.,P/NP / GPA 제외,석차 산정,Medium,성적,X,X
28,한 과목만 B+ 나오면 장학금을 받을 수 있는데 확인 부탁드립니다.,장학 상담처,학생포털시스템 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내_parent_0,개인의 성적에 따른 장학금 수혜 가능 여부는 학생복지팀(051-509-5164)으로 직접 문의하여 확인해야 합니다.,학생복지팀 / 문의,학사지원팀,Easy,성적,X,X
29,P/F 과목이 성적 평균에 포함되나요?,P/NP 평점 포함 여부,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_10,"P/NP 과목은 평점평균 계산에서는 제외되지만, 석차나 장학금 산정 시에는 원 성적을 기준으로 포함됩니다.",평점평균 제외 / 원 성적,F 학점,Medium,성적,O,O
30,성적 정정 기간이 끝났는데 오류를 발견했습니다.,정정 기간 후 수정,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_1,성적 확인 및 이의신청 기간이 종료된 이후에는 어떠한 사유로도 성적 정정 처리가 절대 불가능합니다.,기간 종료 / 정정 불가,교수님 재량,Easy,성적,O,O
31,군 복무 때문에 시험을 못 봤는데 F 처리됐습니다.,공인결석과 시험,공인결석 신청 매뉴얼,[학생] 공인결석 신청 매뉴얼 24.8.19.,[학생] 공인결석 신청 매뉴얼 24.8.19._parent_0,"공인결석 승인은 출석만 인정될 뿐 시험을 대체하지 않으므로, 사전에 교수님과 시험 대체 방안을 상의했어야 합니다.",시험 미대체 / 사전 상의,성적 취소,Medium,성적,X,X
32,입원해서 기말고사를 못 봤습니다.,질병 결석 처리,공인결석 신청 매뉴얼,[학생] 공인결석 신청 매뉴얼 24.8.19.,[학생] 공인결석 신청 매뉴얼 24.8.19._parent_0,"입원 치료는 공인결석 사유가 되나, 시험 응시 및 성적 인정 여부는 전적으로 담당 교수님의 재량에 따라 결정됩니다.",입원 치료 / 교수님 재량,학사지원팀,Medium,성적,X,X
33,팀 프로젝트에서 제 점수만 낮게 나왔습니다.,교수 평가 권한,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_10,"성적 반영 요소와 비율은 교수님의 재량이며, 이의가 있다면 정정 기간 내에 교수님께 구체적인 산출 근거를 문의해야 합니다.",교수님 재량 / 정정 기간,조별 과제,Medium,성적,O,X
34,교수님께 연락이 안 되는데 성적 문의는 어디에 하나요?,학과 사무실 도움,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_1,교수님과 연락이 닿지 않을 경우 해당 과목을 개설한 학부(과) 사무실로 연락하여 문의 방법 등을 안내받으십시오.,학부(과) 사무실 / 문의,재무팀,Easy,성적,O,X
35,학사경고를 처음 받았는데 앞으로 어떻게 해야 하나요?,학사경고자 조치,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_3,"학사경고자는 '자기경영학습법' 과목을 수강해야 하며, 이수 시 다음 학기 수강신청 학점 제한이 일부 완화될 수 있습니다.",자기경영학습법 / 학점 제한,휴학 권고,Medium,성적,O,O
36,집안 사정 때문에 갑자기 학교를 다니기 어려워졌습니다.,일반 휴학 신청,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_27,온라인 휴학 신청 기간(2026.7.6.~8.30.)에 학생포털시스템을 통해 휴학을 신청할 수 있습니다.,휴학 신청 / 온라인,복학 / 자퇴,Easy,휴학,O,X
37,등록금까지 냈는데 휴학하면 어떻게 되나요?,휴학 시 등록금 이월,재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내_parent_0,"납부한 등록금은 반환되지 않으며, 추후 복학하는 학기로 등록 인정(이월) 처리가 됩니다.",등록금 반환 불가 / 등록 인정,장학금 반환,Medium,휴학,O,O
38,군 입대 날짜가 학기 중간입니다.,군휴학 신청,공인결석 신청 매뉴얼,학생포털시스템 매뉴얼학부생,학생포털시스템 매뉴얼학부생_parent_0,"입영통지서를 지참하여 군휴학을 신청해야 하며, 이는 일반 결석 처리와는 다른 학적 변동 절차입니다.",군휴학 / 입영통지서,공인결석,Medium,휴학,X,X
39,우울증 치료 때문에 휴학을 고민 중인데 절차가 어떻게 되나요?,질병 휴학 절차,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_0,"학생포털에서 일반 휴학 신청을 진행하며, 필요시 병원 진단서 등 증빙서류를 지참하여 학부 사무실 상담을 받아야 할 수 있습니다.",학생포털 / 일반 휴학,자퇴 절차,Medium,휴학,X,X
40,휴학 기간이 끝났는데 한 학기 더 연장할 수 있나요?,휴학 기간 연장,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_1,"네, 휴학 신청 기간(7월~8월)에 학생포털시스템에 접속하여 다시 휴학 연장을 신청하면 됩니다.",신청 기간 / 재신청,복학 신청,Easy,휴학,X,X
41,해외 인턴십을 가게 됐는데 휴학이 필요한가요?,현장실습 학점 인정,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_10,학교의 현장실습 학기제 프로그램을 통해 인턴십을 수행한다면 휴학하지 않고도 전공 학점을 인정받을 수 있습니다.,현장실습 / 학점 인정,일반 휴학,Medium,휴학,O,O
42,부모님 사업을 도와야 해서 휴학하려고 합니다.,일반 휴학 사유,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_1,별도의 증빙 없이 일반 휴학 신청 기간에 학생포털시스템에서 온라인으로 휴학 신청이 가능합니다.,신청 기간 / 온라인,군휴학,Easy,휴학,X,X
43,휴학 신청을 했는데 승인 여부는 어디서 확인하나요?,휴학 승인 확인,공인결석 신청 매뉴얼,학생포털시스템 매뉴얼학부생,학생포털시스템 매뉴얼학부생_parent_4,학생포털시스템의 '학적변동 신청' 메뉴에서 처리 상태가 '신청'에서 '승인'으로 변경되었는지 확인 가능합니다.,처리 구분 / 승인 확인,메일 확인,Easy,휴학,O,X
44,군휴학 후 전역했는데 자동 복학되나요?,온라인 복학 신청 필수,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_2,"아니요, 자동 복학되지 않습니다. 반드시 정해진 기간에 직접 온라인으로 복학 신청을 완료해야 합니다.",복학 신청 / 직접 신청,자동 복학,Medium,휴학,O,X
45,휴학 중인데 학생증 사용이 가능한가요?,휴학생 학생증 사용,학사공지,부산외국어대학교 모바일 학생증 사용 안내,부산외국어대학교 모바일 학생증 사용 안내_parent_0,모바일 학생증 앱을 이용하면 휴학 중에도 도서관 출입 등 학교의 기본 시설 이용이 가능합니다.,모바일 학생증 / 이용 가능,실물 카드,Easy,휴학,O,X
46,국가장학금을 받은 상태인데 휴학하면 문제가 되나요?,장학금 수혜 후 휴학,재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내_parent_0,장학금 반환이나 이월 등에 관한 세부 사항이 달라질 수 있으므로 반드시 학생복지팀(051-509-5163)에 확인해야 합니다.,학생복지팀 / 확인,학사지원팀,Medium,휴학,X,X
47,등록금 일부만 납부한 상태에서도 휴학 가능한가요?,분할납부자 휴학 제한,등록금 분할납부 안내,부산외국어대학교 학생포털시스템-등록금 분할납부 안내 (4),부산외국어대학교 학생포털시스템-등록금 분할납부 안내 (4)_parent_0,등록금 분할납부 신청자는 등록금을 전액 완납하기 전까지는 어떠한 사유로도 휴학이 불가능합니다.,등록금 완납 / 휴학 불가,미등록 휴학,Hard,휴학,O,O
48,휴학 중 계절학기를 들을 수 있다고 들었습니다.,휴학생 계절학기,학사공지,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_29,"계절학기 수강 자격은 재학생을 원칙으로 하며, 상세 요건은 해당 학기 계절학기 운영 공지를 다시 확인해야 합니다.",재학생 원칙 / 공지 확인,휴학생 가능,Medium,휴학,O,O
49,최대 휴학 가능 횟수를 넘은 것 같습니다.,휴학 가능 기간,재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내,부산외국어대학교 학생포털시스템-재학생 및 복학생 등록 안내_parent_0,"휴학은 재학 중 총 3년(6학기)까지 가능하며, 이를 초과할 경우의 학적 처리는 학사지원팀에 개별 문의하십시오.",3년(6학기) / 학사지원팀,자퇴,Hard,휴학,X,X
50,휴학 중인데 복수전공 신청도 가능한가요?,휴학생 제2전공 신청,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_2,"네, 제2전공(복수/융합/부전공) 신청은 재학생뿐만 아니라 휴학생도 정해진 기간에 신청할 수 있습니다.",휴학생 / 신청 가능,복학 필수,Medium,휴학,O,X
51,복학 신청 기간을 놓쳤는데 이번 학기 수업을 들을 수 있나요?,수업일수 1/4 이내 복학,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_4,수업일수 1/4선 이내라면 학사지원팀을 방문하여 복학 및 수강신청에 대한 추가 지원을 받을 수 있습니다.,1/4선 이내 / 학사지원팀,기간 경과,Hard,복학,O,O
52,전역증 대신 다른 서류를 제출해도 되나요?,군 복무 증빙 서류,공인결석 신청 매뉴얼,[학생] 공인결석 신청 매뉴얼 24.8.19.,[학생] 공인결석 신청 매뉴얼 24.8.19._parent_0,전역 예정 증명서나 군 경력 증명서 등 본인의 전역일을 공식적으로 확인할 수 있는 서류면 대체 가능합니다.,증빙서류 / 전역일,신분증,Medium,복학,O,X
53,해외 체류 중이라 직접 방문이 어렵습니다.,온라인 복학 신청,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_27,복학 신청은 학생포털시스템을 통해 온라인으로 진행되므로 학교를 직접 방문할 필요가 없습니다.,학생포털 / 온라인,방문 신청,Easy,복학,X,X
54,복학 신청은 했는데 학적 상태가 아직 휴학으로 나옵니다.,복학 승인 절차,공인결석 신청 매뉴얼,학생포털시스템 매뉴얼학부생,학생포털시스템 매뉴얼학부생_parent_8,학부(과) 및 학사지원팀의 최종 승인 처리가 완료되어야 학적 상태가 변경되므로 포털에서 진행 현황을 확인하십시오.,승인 처리 / 진행 현황,자동 변경,Easy,복학,O,X
55,복학 후 바로 수강신청 가능한가요?,복학 후 수강신청,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_52,"네, 복학 승인 절차가 완료되면 해당 학기 수강신청 기간에 재학생과 동일하게 수강신청이 가능합니다.",복학 승인 / 수강신청,휴학생 상태,Medium,복학,O,O
56,제대 후 학교 시스템 비밀번호를 잊어버렸습니다.,포털 비밀번호 찾기,학생포털시스템,2026-1 수강신청 매뉴얼재학생,2026-1 수강신청 매뉴얼재학생_parent_0,학생포털 비밀번호를 분실했다면 교무처 학사지원팀에 문의하여 재설정·복구 절차를 안내받아야 합니다. (초기 비밀번호는 생년월일 6자리이며 로그인 후 반드시 변경),학사지원팀 / 재설정,,Easy,복학,O,O
57,복학했는데 이전 교육과정이 바뀌었다고 합니다.,교육과정 대체 이수,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_12,"폐지된 과목은 지정된 대체과목으로 이수해야 하며, 본인 학번에 규정된 이수 지침을 따라야 졸업에 문제가 없습니다.",대체과목 / 이수 지침,신규 교육과정,Hard,복학,O,X
58,복학생도 장학금 신청이 가능한가요?,복학생 장학금 신청,장학공지,—,N/A (KB 미수록),"네, 복학 예정자도 정해진 기간 내에 교내외 장학금을 신청할 수 있으므로 장학공지를 수시로 확인해야 합니다.",장학금 신청 / 장학공지,신입생 전용,Medium,복학,X,X
59,군휴학 전 들었던 과목들이 아직 인정되나요?,기존 이수 학점 유지,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_30,"네, 휴학 전에 취득한 모든 학점은 학적부에 그대로 유지되어 졸업 시 이수 학점으로 인정됩니다.",취득 학점 / 유지,학점 소멸,Easy,복학,O,X
60,복학과 동시에 전과 신청도 가능한가요?,복학 시 전과 신청,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_1,"네, 전과(전부) 신청 기간(7월/1월)에 맞춰 복학 신청과 함께 전과 신청을 병행할 수 있습니다.",전과 신청 / 병행 가능,졸업 이후,Medium,복학,O,X
61,학점은 다 채웠는데 졸업예정자로 안 뜹니다.,졸업 요건 미충족 확인,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_27,"학업성적사정표를 통해 졸업인증, 졸업시험, 필수 과목 이수 여부 등 학점 외 요건을 모두 충족했는지 확인하십시오.",학업성적사정표 / 요건 확인,학점 부족,Medium,졸업,O,X
62,전공학점이 부족한지 확인 부탁드립니다.,학점 부족 확인 방법,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_27,학생포털의 [졸업 > 학업성적사정표] 메뉴에서 본인의 전공별 이수 학점과 부족 학점을 실시간으로 직접 확인할 수 있습니다.,학업성적사정표 / 부족 학점,학과 사무실,Easy,졸업,O,X
63,이번 학기 한 과목만 통과하면 졸업인데 어떻게 확인하나요?,졸업사정 결과 조회,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_27,7월 말경 학생포털의 '졸업사정결과표' 조회를 통해 최종 졸업 가능 여부 및 합격 상태를 확인할 수 있습니다.,졸업사정결과표 / 확인,수강신청 내역,Medium,졸업,O,O
64,영어 졸업인증 점수를 아직 제출하지 못했습니다.,졸업인증제 요건,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_16,"내국인 학생(17~23학번)은 비교과 지수 40점 이상이 필요하며, 외국인은 TOPIK 4급 등 학번별 인증 기준을 충족해야 합니다.",비교과 지수 / TOPIK,토익 점수,Medium,졸업,O,X
65,졸업논문 제출 기한을 놓쳤습니다.,졸업논문 구제 방안,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_1,"기한 이후 제출은 원칙적으로 불가하므로, 즉시 해당 학부(과) 사무실에 연락하여 추가 제출 가능 여부를 확인해야 합니다.",학부(과) 사무실 / 확인,학사지원팀,Medium,졸업,O,O
66,졸업시험에 떨어졌는데 재응시 가능한가요?,졸업시험 재응시,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_4,각 학부(과)별 규정에 따라 재응시 기회가 주어질 수 있으므로 상세한 일정과 방법은 학과 사무실로 문의하십시오.,재응시 / 학과 사무실,졸업 유예,Medium,졸업,O,X
67,수료 상태인데 취업 때문에 졸업이 필요합니다.,수료 후 학위 취득,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_10,"수료자는 부족한 졸업 요건(시험, 인증 등)을 모두 충족한 후 다음 학기 학위수여 시기에 졸업이 가능합니다.",졸업 요건 / 충족,수강신청,Hard,졸업,O,X
68,조기졸업을 신청하고 싶은데 조건이 되나요?,조기졸업 요건,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_29,"6학기 또는 7학기 이수자 중 평점 평균이 우수하고 모든 졸업 요건을 충족해야 하며, 매년 5월 중 신청해야 합니다.",6·7학기 이수 / 평점 우수,학사경고,Hard,졸업,O,X
69,복수전공까지 포함하면 졸업요건을 충족한 건가요?,다전공 졸업시험,2026학년도 1학기 학사안내,2026학년도1학기학사안내,2026학년도1학기학사안내_parent_12,주전공 학점뿐만 아니라 복수전공 학점과 해당 복수전공의 졸업시험까지 모두 통과해야 최종 졸업이 가능합니다.,복수전공 / 졸업시험,부전공,Medium,졸업,O,O
70,졸업유예를 하면 학생 신분이 유지되나요?,학사학위 취득 유예,수업연한초과자 등록 안내,부산외국어대학교 학생포털시스템-수업연한초과자(9학기 이상) 등록 안내,부산외국어대학교 학생포털시스템-수업연한초과자(9학기 이상) 등록 안내_parent_0,"네, 학사학위 취득 유예자(졸업유예) 상태에서는 졸업 증명서는 발급되지 않으나 학생 신분은 그대로 유지됩니다.",신분 유지 / 취득 유예,졸업 증명,Easy,졸업,X,X
71,한 과목 부족해서 졸업이 미뤄질 것 같습니다.,수업연한 초과 등록,수업연한초과자 등록 안내,부산외국어대학교 학생포털시스템-수업연한초과자(9학기 이상) 등록 안내,부산외국어대학교 학생포털시스템-수업연한초과자(9학기 이상) 등록 안내_parent_0,부족한 학점 이수를 위해 다음 학기에 '수업연한 초과자'로 등록하여 수강신청을 하고 등록금을 납부해야 합니다.,수업연한 초과자 / 등록금,졸업 유예,Medium,졸업,X,X
